Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,Location
226-31-3081,C,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,9.6,Naypyitaw
631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,Credit card,7.4,Yangon
373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,Ewallet,5.3,Yangon
699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,4.1,Naypyitaw
355-53-5943,A,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,5.8,Yangon
315-22-5665,C,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,8.0,Naypyitaw
692-92-5582,B,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,5.9,Mandalay
351-62-0822,B,Normal,Male,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07,Ewallet,4.5,Mandalay
529-56-3974,B,Normal,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,Cash,6.8,Mandalay
365-64-0515,A,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,7.1,Yangon
252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,8.2,Yangon
299-46-1805,B,Normal,Male,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,4.5,Mandalay
656-95-9349,A,Normal,Male,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,4.6,Yangon
765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,6.9,Yangon
329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,8.6,Yangon
319-50-3348,B,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,4.4,Mandalay
300-71-4605,C,Normal,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,4.8,Naypyitaw
371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,Ewallet,5.1,Mandalay
273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,4.4,Mandalay
636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,9.9,Yangon
549-59-1358,A,Normal,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,6.0,Yangon
227-03-5010,A,Normal,Male,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,8.5,Yangon
649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,6.7,Mandalay
189-17-4241,A,Normal,Male,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,7.7,Yangon
145-94-9061,B,Normal,Male,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,9.6,Mandalay
848-62-7243,A,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,7.4,Yangon
